song,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,preview_url
Casio,0.816,0.492,10,-7.464,0,0.0752,0.431,0.0896,0.0995,0.765,115.989,audio_features,44ZKnfWEkp7wPs035j4Tua,spotify:track:44ZKnfWEkp7wPs035j4Tua,https://api.spotify.com/v1/tracks/44ZKnfWEkp7wPs035j4Tua,https://api.spotify.com/v1/audio-analysis/44ZKnfWEkp7wPs035j4Tua,234370,4,https://p.scdn.co/mp3-preview/f96c54f194e44ac73942a51c00f489151230581a?cid=774b29d4f13844c495f206cafdad9c86
IknowhowIfeel,0.856,0.511,2,-10.413,0,0.0365,0.386,0.0334,0.0985,0.942,114.985,audio_features,2IFaUS63AIAr9P46W1lEwt,spotify:track:2IFaUS63AIAr9P46W1lEwt,https://api.spotify.com/v1/tracks/2IFaUS63AIAr9P46W1lEwt,https://api.spotify.com/v1/audio-analysis/2IFaUS63AIAr9P46W1lEwt,327399,4,https://p.scdn.co/mp3-preview/286bec56cb586e67afa65af9556d33fd2899ed47?cid=774b29d4f13844c495f206cafdad9c86
Happy Man,0.594,0.516,9,-7.848,0,0.0316,0.198,0.0000291,0.0736,0.154,108.017,audio_features,1oSDiyNMslJoTCfUZBHNP2,spotify:track:1oSDiyNMslJoTCfUZBHNP2,https://api.spotify.com/v1/tracks/1oSDiyNMslJoTCfUZBHNP2,https://api.spotify.com/v1/audio-analysis/1oSDiyNMslJoTCfUZBHNP2,191530,4,https://p.scdn.co/mp3-preview/7fe807caa4af643975ddc61a94eed65a1b7ef8d5?cid=774b29d4f13844c495f206cafdad9c86
Overnight,0.815,0.819,8,-9.494,0,0.0521,0.364,0.0555,0.115,0.864,119.986,audio_features,0hhXziDUO0wNYPsstDQWN6,spotify:track:0hhXziDUO0wNYPsstDQWN6,https://api.spotify.com/v1/tracks/0hhXziDUO0wNYPsstDQWN6,https://api.spotify.com/v1/audio-analysis/0hhXziDUO0wNYPsstDQWN6,219604,4,https://p.scdn.co/mp3-preview/8c2a46821feba25be17fcf37c3e8f9b401808966?cid=774b29d4f13844c495f206cafdad9c86
Lockdown,0.928,0.437,1,-7.081,0,0.127,0.144,0.000357,0.147,0.496,100.056,audio_features,5oZps6mYqU5s7A4WjUZggJ,spotify:track:5oZps6mYqU5s7A4WjUZggJ,https://api.spotify.com/v1/tracks/5oZps6mYqU5s7A4WjUZggJ,https://api.spotify.com/v1/audio-analysis/5oZps6mYqU5s7A4WjUZggJ,212613,4,https://p.scdn.co/mp3-preview/aae9b3ca358f78e5fbab9dd96f45e8fede562225?cid=774b29d4f13844c495f206cafdad9c86
What's the Use?,0.759,0.492,1,-10.338,0,0.12,0.736,0.00989,0.107,0.561,104.974,audio_features,2dgrYdgguVZKeCsrVb9XEs,spotify:track:2dgrYdgguVZKeCsrVb9XEs,https://api.spotify.com/v1/tracks/2dgrYdgguVZKeCsrVb9XEs,https://api.spotify.com/v1/audio-analysis/2dgrYdgguVZKeCsrVb9XEs,288640,4,https://p.scdn.co/mp3-preview/ce5a2f2092a8a51ac05b9979057732b89cac50c0?cid=774b29d4f13844c495f206cafdad9c86
Jet Black (feat. Brandy),0.819,0.596,7,-7.697,0,0.123,0.0302,0.00000459,0.102,0.473,108.204,audio_features,70pZIQqQ37SrNCADx0FiPN,spotify:track:70pZIQqQ37SrNCADx0FiPN,https://api.spotify.com/v1/tracks/70pZIQqQ37SrNCADx0FiPN,https://api.spotify.com/v1/audio-analysis/70pZIQqQ37SrNCADx0FiPN,208395,4,https://p.scdn.co/mp3-preview/6707d744a11d14437601468f46935ee9a28a33a7?cid=774b29d4f13844c495f206cafdad9c86
What Kinda Music - Jordan Rakei Remix,0.724,0.614,10,-11.169,0,0.098,0.217,0.81,0.0919,0.755,114.857,audio_features,0FMgzGbCh8yNMibGY5L2cM,spotify:track:0FMgzGbCh8yNMibGY5L2cM,https://api.spotify.com/v1/tracks/0FMgzGbCh8yNMibGY5L2cM,https://api.spotify.com/v1/audio-analysis/0FMgzGbCh8yNMibGY5L2cM,340729,4,https://p.scdn.co/mp3-preview/387845cd5fd6b34e0657ffe297fd01612b90f2b0?cid=774b29d4f13844c495f206cafdad9c86
Ladders,0.802,0.463,8,-8.379,1,0.162,0.236,0.00531,0.105,0.291,103.961,audio_features,39NDBdU5Xkm5pCFGa5kZtI,spotify:track:39NDBdU5Xkm5pCFGa5kZtI,https://api.spotify.com/v1/tracks/39NDBdU5Xkm5pCFGa5kZtI,https://api.spotify.com/v1/audio-analysis/39NDBdU5Xkm5pCFGa5kZtI,287040,4,https://p.scdn.co/mp3-preview/7eb7764aa95b2b7978a0359df7140cf9382f00b5?cid=774b29d4f13844c495f206cafdad9c86
Small Worlds,0.516,0.546,5,-9.105,1,0.249,0.814,0.0000045,0.0995,0.515,78.267,audio_features,4gT3mNJA8lnlkYFqGZ8IA2,spotify:track:4gT3mNJA8lnlkYFqGZ8IA2,https://api.spotify.com/v1/tracks/4gT3mNJA8lnlkYFqGZ8IA2,https://api.spotify.com/v1/audio-analysis/4gT3mNJA8lnlkYFqGZ8IA2,271733,4,https://p.scdn.co/mp3-preview/4c25dc91509b1a95a44b18b6048c92861172423b?cid=774b29d4f13844c495f206cafdad9c86
Dang! (feat. Anderson .Paak),0.836,0.67,5,-6.907,0,0.23,0.00826,0.000355,0.0837,0.556,107.018,audio_features,5iUQMwxUPdJBFeGkePtM66,spotify:track:5iUQMwxUPdJBFeGkePtM66,https://api.spotify.com/v1/tracks/5iUQMwxUPdJBFeGkePtM66,https://api.spotify.com/v1/audio-analysis/5iUQMwxUPdJBFeGkePtM66,305350,4,https://p.scdn.co/mp3-preview/3e1d6ac23099c42068fff3f52c3fa8ddad86d36f?cid=774b29d4f13844c495f206cafdad9c86
Blue World,0.742,0.553,8,-8.98,1,0.419,0.389,0,0.0694,0.508,84.931,audio_features,2hwOoMtWPtTSSn6WHV7Vp5,spotify:track:2hwOoMtWPtTSSn6WHV7Vp5,https://api.spotify.com/v1/tracks/2hwOoMtWPtTSSn6WHV7Vp5,https://api.spotify.com/v1/audio-analysis/2hwOoMtWPtTSSn6WHV7Vp5,209440,4,https://p.scdn.co/mp3-preview/3fe6ac844ff30952202dd30e5e980ffe5810cf32?cid=774b29d4f13844c495f206cafdad9c86
